Random Number,Steps,Cache Policy,Cache Hit
156,36,LFU,No
928,23,LFU,No
235,127,LFU,No
237,34,LFU,No
511,61,LFU,No
631,38,LFU,No
201,18,LFU,No
862,41,LFU,No
193,119,LFU,No
329,50,LFU,No
421,40,LFU,No
912,36,LFU,No
622,87,LFU,No
514,123,LFU,No
583,30,LFU,No
902,54,LFU,No
314,37,LFU,No
877,54,LFU,No
363,45,LFU,No
740,46,LFU,No
775,152,LFU,No
394,27,LFU,No
415,133,LFU,No
32,5,LFU,No
90,17,LFU,No
291,117,LFU,No
797,121,LFU,No
278,42,LFU,No
890,72,LFU,No
503,66,LFU,No
674,113,LFU,No
45,16,LFU,No
149,23,LFU,No
627,131,LFU,No
280,16,LFU,No
377,63,LFU,No
975,142,LFU,No
480,22,LFU,No
238,34,LFU,No
168,10,LFU,No
526,79,LFU,No
377,63,LFU,Yes
797,121,LFU,Yes
866,28,LFU,No
889,147,LFU,No
98,25,LFU,No
486,97,LFU,No
202,26,LFU,No
973,98,LFU,No
566,61,LFU,No
660,113,LFU,No
747,46,LFU,No
677,51,LFU,No
792,28,LFU,No
497,22,LFU,No
484,97,LFU,No
82,110,LFU,No
293,117,LFU,No
760,108,LFU,No
689,126,LFU,No
513,35,LFU,No
153,36,LFU,No
732,95,LFU,No
661,113,LFU,No
778,121,LFU,No
729,33,LFU,No
37,21,LFU,No
752,108,LFU,No
926,129,LFU,No
992,111,LFU,No
637,56,LFU,No
171,124,LFU,No
368,19,LFU,No
434,27,LFU,No
36,21,LFU,No
256,8,LFU,No
249,47,LFU,No
520,30,LFU,No
175,80,LFU,No
940,129,LFU,No
803,20,LFU,No
833,28,LFU,No
686,126,LFU,No
479,53,LFU,No
343,125,LFU,No
900,54,LFU,No
961,49,LFU,No
142,103,LFU,No
911,41,LFU,No
721,46,LFU,No
829,90,LFU,No
423,32,LFU,No
591,56,LFU,No
279,42,LFU,No
83,110,LFU,No
368,19,LFU,Yes
8,3,LFU,No
837,41,LFU,No
837,41,LFU,Yes
932,85,LFU,No
547,30,LFU,No
193,119,LFU,Yes
102,25,LFU,No
913,129,LFU,No
344,32,LFU,No
854,54,LFU,No
886,54,LFU,No
591,56,LFU,Yes
92,17,LFU,No
778,121,LFU,Yes
530,123,LFU,No
893,72,LFU,No
330,112,LFU,No
934,85,LFU,No
371,45,LFU,No
671,95,LFU,No
833,28,LFU,Yes
51,24,LFU,No
812,41,LFU,No
743,95,LFU,No
489,48,LFU,No
640,12,LFU,No
884,116,LFU,No
79,35,LFU,No
918,129,LFU,No
684,126,LFU,No
164,111,LFU,No
643,25,LFU,No
520,30,LFU,Yes
718,51,LFU,No
293,117,LFU,Yes
784,28,LFU,No
909,15,LFU,No
113,12,LFU,No
415,133,LFU,Yes
252,109,LFU,No
965,23,LFU,No
300,16,LFU,No
561,43,LFU,No
57,32,LFU,No
796,121,LFU,No
90,17,LFU,Yes
667,144,LFU,No
125,108,LFU,No
741,46,LFU,No
756,108,LFU,No
513,35,LFU,Yes
293,117,LFU,Yes
805,20,LFU,No
324,24,LFU,No
35,13,LFU,No
293,117,LFU,Yes
682,12,LFU,No
917,36,LFU,No
370,45,LFU,No
318,55,LFU,No
320,11,LFU,No
532,30,LFU,No
959,129,LFU,No
838,41,LFU,No
249,47,LFU,Yes
251,65,LFU,No
